"Datum","Feiertag","Bundesland"
2013-05-01,"Tag der Arbeit 
alle BL","Rheinland-Pfalz"
2013-05-09,"Christi Himmelfahrt 
alle BL","Rheinland-Pfalz"
2013-05-20,"Pfingstmontag 
alle BL","Rheinland-Pfalz"
2013-05-30,"Fronleichnam 
BW, BY, HE, NW, RP, SL","Rheinland-Pfalz"
2013-11-01,"Allerheiligen 
BW, BY, NW, RP, SL","Rheinland-Pfalz"
2013-11-11,"Martinstag 
alle BL","Rheinland-Pfalz"
2013-12-25,"1. Weihnachtsfeiertag 
alle BL","Rheinland-Pfalz"
2013-12-26,"2. Weihnachtsfeiertag 
alle BL","Rheinland-Pfalz"
2013-01-01,"Neujahr alle BL","Saarland"
2013-03-29,"Karfreitag 
alle BL","Saarland"
2013-03-30,"Karsamstag 
alle BL","Saarland"
2013-04-01,"Ostermontag 
alle BL","Saarland"
2013-05-01,"Tag der Arbeit 
alle BL","Saarland"
2013-05-09,"Christi Himmelfahrt 
alle BL","Saarland"
2013-05-20,"Pfingstmontag 
alle BL","Saarland"
2013-05-30,"Fronleichnam 
BW, BY, HE, NW, RP, SL","Saarland"
2013-08-15,"Mariä Himmelfahrt * 
BY, SL","Saarland"
2013-11-01,"Allerheiligen 
BW, BY, NW, RP, SL","Saarland"
2013-11-11,"Martinstag 
alle BL","Saarland"
2013-12-25,"1. Weihnachtsfeiertag 
alle BL","Saarland"
2013-12-26,"2. Weihnachtsfeiertag 
alle BL","Saarland"
2013-01-01,"Neujahr alle BL","Sachsen"
2013-03-29,"Karfreitag 
alle BL","Sachsen"
2013-03-30,"Karsamstag 
alle BL","Sachsen"
2013-04-01,"Ostermontag 
alle BL","Sachsen"
2013-05-01,"Tag der Arbeit 
alle BL","Sachsen"
2013-05-09,"Christi Himmelfahrt 
alle BL","Sachsen"
2013-05-20,"Pfingstmontag 
alle BL","Sachsen"
2013-10-31,"Reformationstag * 
BB, MV, SN, ST, TH","Sachsen"
2013-11-11,"Martinstag 
alle BL","Sachsen"
2013-11-20,"Buß- und Bettag 
SN","Sachsen"
2013-12-25,"1. Weihnachtsfeiertag 
alle BL","Sachsen"
2013-12-26,"2. Weihnachtsfeiertag 
alle BL","Sachsen"
2013-01-01,"Neujahr alle BL","Sachsen-Anhalt"
2013-01-06,"Heilige Drei Könige 
BW, BY, ST","Sachsen-Anhalt"
2013-03-29,"Karfreitag 
alle BL","Sachsen-Anhalt"
2013-03-30,"Karsamstag 
alle BL","Sachsen-Anhalt"
2013-04-01,"Ostermontag 
alle BL","Sachsen-Anhalt"
2013-05-01,"Tag der Arbeit 
alle BL","Sachsen-Anhalt"
2013-05-09,"Christi Himmelfahrt 
alle BL","Sachsen-Anhalt"
2013-05-20,"Pfingstmontag 
alle BL","Sachsen-Anhalt"
2013-10-31,"Reformationstag * 
BB, MV, SN, ST, TH","Sachsen-Anhalt"
2013-11-11,"Martinstag 
alle BL","Sachsen-Anhalt"
2013-12-25,"1. Weihnachtsfeiertag 
alle BL","Sachsen-Anhalt"
2013-12-26,"2. Weihnachtsfeiertag 
alle BL","Sachsen-Anhalt"
2013-01-01,"Neujahr alle BL","Schleswig-Holstein"
2013-03-29,"Karfreitag 
alle BL","Schleswig-Holstein"
2013-03-30,"Karsamstag 
alle BL","Schleswig-Holstein"
2013-04-01,"Ostermontag 
alle BL","Schleswig-Holstein"
2013-05-01,"Tag der Arbeit 
alle BL","Schleswig-Holstein"
2013-05-09,"Christi Himmelfahrt 
alle BL","Schleswig-Holstein"
2013-05-20,"Pfingstmontag 
alle BL","Schleswig-Holstein"
2013-11-11,"Martinstag 
alle BL","Schleswig-Holstein"
2013-12-25,"1. Weihnachtsfeiertag 
alle BL","Schleswig-Holstein"
2013-12-26,"2. Weihnachtsfeiertag 
alle BL","Schleswig-Holstein"
2013-01-01,"Neujahr alle BL","Thueringen"
2013-03-29,"Karfreitag 
alle BL","Thueringen"
2013-03-30,"Karsamstag 
alle BL","Thueringen"
2013-04-01,"Ostermontag 
alle BL","Thueringen"
2013-05-01,"Tag der Arbeit 
alle BL","Thueringen"
2013-05-09,"Christi Himmelfahrt 
alle BL","Thueringen"
2013-05-20,"Pfingstmontag 
alle BL","Thueringen"
2013-11-11,"Martinstag 
alle BL","Thueringen"
2013-12-25,"1. Weihnachtsfeiertag 
alle BL","Thueringen"
2013-12-26,"2. Weihnachtsfeiertag 
alle BL","Thueringen"
