date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen;1=yes;0=no
18.03.13;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;;
19.03.13;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;;
20.03.13;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;;
21.03.13;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;;
22.03.13;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;;
23.03.13;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;;
24.03.13;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;;
25.03.13;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;;
26.03.13;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;;
27.03.13;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;;
28.03.13;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;;
29.03.13;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;;
30.03.13;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;;
31.03.13;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;;
01.04.13;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;;
02.04.13;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;;
03.04.13;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;;
04.04.13;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;;
05.04.13;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;;
06.04.13;0;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1;;
07.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
08.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
09.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
10.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
11.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
12.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
24.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
26.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
27.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
28.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
29.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30.04.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
01.05.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
02.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
03.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
04.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
05.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
06.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
07.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
08.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
09.05.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
10.05.13;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;1;;
11.05.13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
12.05.13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
13.05.13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
14.05.13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
15.05.13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
16.05.13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
17.05.13;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;;
18.05.13;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;;
19.05.13;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;
20.05.13;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;
21.05.13;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;;
22.05.13;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
23.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
24.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
26.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
27.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
28.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
29.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
31.05.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
01.06.13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
02.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
04.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
05.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
06.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
07.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
08.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
09.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
10.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
11.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
12.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18.06.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.06.13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20.06.13;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
21.06.13;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
22.06.13;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;;
23.06.13;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;;
24.06.13;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;;
25.06.13;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;;
26.06.13;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;;
27.06.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
28.06.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
29.06.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
30.06.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
01.07.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
02.07.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
03.07.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
04.07.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
05.07.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
06.07.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
07.07.13;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;;
08.07.13;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;;
09.07.13;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;;
10.07.13;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;;
11.07.13;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;;
12.07.13;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;;
13.07.13;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;;
14.07.13;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;;
15.07.13;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;
16.07.13;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;
17.07.13;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;
18.07.13;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;
19.07.13;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;
20.07.13;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;
21.07.13;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;
22.07.13;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
23.07.13;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
24.07.13;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
25.07.13;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
26.07.13;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
27.07.13;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
28.07.13;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
29.07.13;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
30.07.13;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
31.07.13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
01.08.13;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;;
02.08.13;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;;
03.08.13;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;;
04.08.13;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;;
05.08.13;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;;
06.08.13;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;;
07.08.13;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;;
08.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
09.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
10.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
11.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
12.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
13.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
14.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
15.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
16.08.13;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;;
17.08.13;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;;
18.08.13;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;;
19.08.13;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;;
20.08.13;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;;
21.08.13;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;;
22.08.13;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;;
23.08.13;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;;
24.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;
25.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;
26.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;
27.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;
28.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;
29.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
30.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
31.08.13;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
01.09.13;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
02.09.13;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
03.09.13;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
04.09.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
05.09.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
06.09.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
07.09.13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
08.09.13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
09.09.13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
10.09.13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
11.09.13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
12.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
24.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
26.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
27.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
28.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
29.09.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30.09.13;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
01.10.13;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
02.10.13;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
03.10.13;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
04.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
05.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
06.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
07.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
08.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
09.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
